Unique Process ID,Process ID,Unique Thread ID,Thread ID,Thread Name,Thread Begin Time,Thread End Time,Thread Start Address,Life Time,
1,5048,177,14744,"Unknown","1 643,72","1 650,66",140 723 772 198 448,"6,94",
1,5048,178,9912,"Unknown","1 644,06","1 651,26",140 723 772 198 448,"7,20",
1,5048,179,15232,"Unknown","1 644,50","1 651,61",140 723 772 198 448,"7,10",
1,5048,180,15808,"Unknown","1 644,90","1 651,96",140 723 772 198 448,"7,06",
1,5048,181,14380,"Unknown","1 645,68","1 655,09",140 723 772 198 448,"9,41",
1,5048,182,6952,"Unknown","1 648,03","1 655,62",140 723 772 198 448,"7,59",
1,5048,183,7748,"Unknown","1 701,68","1 708,58",140 723 772 198 448,"6,90",
1,5048,184,19872,"Unknown","1 702,30","1 708,73",140 723 772 198 448,"6,43",
1,5048,185,19660,"Unknown","1 703,00","1 710,16",140 723 772 198 448,"7,15",
1,5048,186,15068,"Unknown","1 703,51","1 709,95",140 723 772 198 448,"6,43",
1,5048,187,16788,"Unknown","1 704,01","1 710,92",140 723 772 198 448,"6,90",
1,5048,188,19056,"Unknown","1 704,43","1 711,01",140 723 772 198 448,"6,59",
1,5048,189,16152,"Unknown","1 704,82","1 711,58",140 723 772 198 448,"6,76",
1,5048,190,7284,"Unknown","1 705,20","1 712,27",140 723 772 198 448,"7,07",
1,5048,191,16968,"Unknown","1 705,58","1 715,76",140 723 772 198 448,"10,18",
1,5048,192,17152,"Unknown","1 708,86","1 716,16",140 723 772 198 448,"7,30",
1,5048,193,13416,"Unknown","1 709,26","1 717,02",140 723 772 198 448,"7,76",
1,5048,194,19200,"Unknown","1 710,06","1 716,87",140 723 772 198 448,"6,80",
1,5048,195,16500,"Unknown","1 710,48","1 717,81",140 723 772 198 448,"7,33",
1,5048,196,2260,"Unknown","1 711,02","1 718,26",140 723 772 198 448,"7,24",
1,5048,197,19412,"Unknown","1 711,41","1 718,39",140 723 772 198 448,"6,97",
1,5048,198,19904,"Unknown","1 711,83","1 720,09",140 723 772 198 448,"8,25",
1,5048,199,9492,"Unknown","1 712,44","1 720,44",140 723 772 198 448,"8,00",
1,5048,200,6356,"Unknown","1 715,89","1 721,86",140 723 772 198 448,"5,97",
1,5048,201,17180,"Unknown","1 716,58","1 721,25",140 723 772 198 448,"4,66",
1,5048,202,15448,"Unknown","1 767,82","1 781,83",140 723 772 198 448,"14,01",
1,5048,203,19828,"Unknown","1 775,82","1 782,15",140 723 772 198 448,"6,33",
1,5048,204,13432,"Unknown","1 776,54","1 783,60",140 723 772 198 448,"7,06",
1,5048,205,13152,"Unknown","1 777,13","1 783,68",140 723 772 198 448,"6,56",
1,5048,206,15388,"Unknown","1 777,55","1 784,44",140 723 772 198 448,"6,90",
1,5048,207,19924,"Unknown","1 777,98","1 784,56",140 723 772 198 448,"6,59",
1,5048,208,17420,"Unknown","1 778,42","1 784,90",140 723 772 198 448,"6,48",
1,5048,209,19160,"Unknown","1 778,83","1 785,72",140 723 772 198 448,"6,89",
1,5048,210,16944,"Unknown","1 779,22","1 788,37",140 723 772 198 448,"9,15",
1,5048,211,15800,"Unknown","1 782,03","1 789,66",140 723 772 198 448,"7,63",
1,5048,212,13932,"Unknown","1 783,63","1 790,74",140 723 772 198 448,"7,11",
1,5048,213,16724,"Unknown","1 784,08","1 790,31",140 723 772 198 448,"6,23",
1,5048,214,9176,"Unknown","1 784,53","1 790,83",140 723 772 198 448,"6,30",
1,5048,215,5044,"Unknown","1 784,93","1 791,68",140 723 772 198 448,"6,75",
1,5048,216,15108,"Unknown","1 785,34","1 792,41",140 723 772 198 448,"7,07",
1,5048,217,2848,"Unknown","1 785,74","1 793,27",140 723 772 198 448,"7,52",
1,5048,218,2652,"Unknown","1 786,13","1 794,77",140 723 772 198 448,"8,63",
1,5048,219,8044,"Unknown","1 788,55","1 795,86",140 723 772 198 448,"7,32",
1,5048,220,18688,"Unknown","1 790,49","1 796,78",140 723 772 198 448,"6,29",
1,5048,221,16628,"Unknown","1 790,94","1 796,47",140 723 772 198 448,"5,53",
1,5048,222,12932,"Unknown","1 845,62","1 852,78",140 723 772 198 448,"7,16",
