Type,Root Function Name,Function Name,Inclusive Samples,Exclusive Samples,Inclusive Samples %,Exclusive Samples %,
"Root","BMPReader::WriteBMP","BMPReader::WriteBMP",609,1,"1,11","0,00",
"Caller","BMPReader::WriteBMP","BMPTransformer::Cleanup",306,1,"0,56","0,00",
"Caller","BMPReader::WriteBMP","main",303,0,"0,55","0,00",
"Callee","BMPReader::WriteBMP","[ucrtbase.dll]",608,0,"1,11","0,00",
"Root","BMPTransformer::Cleanup","BMPTransformer::Cleanup",433,0,"0,79","0,00",
"Caller","BMPTransformer::Cleanup","main",433,0,"0,79","0,00",
"Callee","BMPTransformer::Cleanup","[ucrtbase.dll]",127,0,"0,23","0,00",
"Callee","BMPTransformer::Cleanup","BMPReader::WriteBMP",306,1,"0,56","0,00",
"Root","BMPTransformer::Transform","BMPTransformer::Transform",877,0,"1,60","0,00",
"Caller","BMPTransformer::Transform","main",877,0,"1,60","0,00",
"Callee","BMPTransformer::Transform","[msvcp140.dll]",12,0,"0,02","0,00",
"Callee","BMPTransformer::Transform","[ucrtbase.dll]",1,0,"0,00","0,00",
"Callee","BMPTransformer::Transform","operator new",2,0,"0,00","0,00",
"Callee","BMPTransformer::Transform","std::thread::thread<<lambda_1268a5ee5881dafa003fc32150625876>,void>",859,0,"1,57","0,00",
"Callee","BMPTransformer::Transform","std::vector<int,std::allocator<int> >::_Emplace_reallocate<int>",1,0,"0,00","0,00",
"Callee","BMPTransformer::Transform","std::vector<int,std::allocator<int> >::vector<int,std::allocator<int> >",2,0,"0,00","0,00",
"Root","BMPTransformer::ValidateParams","BMPTransformer::ValidateParams",652,0,"1,19","0,00",
"Caller","BMPTransformer::ValidateParams","main",652,0,"1,19","0,00",
"Callee","BMPTransformer::ValidateParams","BMPReader::ReadBMP",652,0,"1,19","0,00",
"Root","capture_previous_context","capture_previous_context",393,393,"0,72","0,72",
"Root","DllMain","DllMain",509,509,"0,93","0,93",
"Root","dllmain_crt_dispatch","dllmain_crt_dispatch",25 848,25 848,"47,21","47,21",
"Root","dllmain_crt_process_attach","dllmain_crt_process_attach",808,808,"1,48","1,48",
"Root","dllmain_crt_process_detach","dllmain_crt_process_detach",934,934,"1,71","1,71",
"Root","dllmain_dispatch","dllmain_dispatch",963,963,"1,76","1,76",
"Root","dllmain_dispatch","dllmain_dispatch",1,1,"0,00","0,00",
"Caller","dllmain_dispatch","[ntdll.dll]",1,1,"0,00","0,00",
"Root","main","main",2 266,0,"4,14","0,00",
"Caller","main","__scrt_common_main_seh",2 266,0,"4,14","0,00",
"Callee","main","_scprintf",1,0,"0,00","0,00",
"Callee","main","BMPReader::WriteBMP",303,0,"0,55","0,00",
"Callee","main","BMPTransformer::Cleanup",433,0,"0,79","0,00",
"Callee","main","BMPTransformer::Transform",877,0,"1,60","0,00",
"Callee","main","BMPTransformer::ValidateParams",652,0,"1,19","0,00",
"Root","operator new","operator new",11,0,"0,02","0,00",
"Caller","operator new","BMPReader::ReadBMP",6,0,"0,01","0,00",
"Caller","operator new","BMPTransformer::Transform",2,0,"0,00","0,00",
"Caller","operator new","std::vector<int,std::allocator<int> >::_Emplace_reallocate<int>",1,0,"0,00","0,00",
"Caller","operator new","std::vector<int,std::allocator<int> >::vector<int,std::allocator<int> >",2,0,"0,00","0,00",
"Callee","operator new","[ucrtbase.dll]",11,1,"0,02","0,00",
"Root","std::_LaunchPad<std::unique_ptr<std::tuple<<lambda_1268a5ee5881dafa003fc32150625876> >,std::default_delete<std::tuple<<lambda_1268a5ee5881dafa003fc32150625876> > > > >::_Go","std::_LaunchPad<std::unique_ptr<std::tuple<<lambda_1268a5ee5881dafa003fc32150625876> >,std::default_delete<std::tuple<<lambda_1268a5ee5881dafa003fc32150625876> > > > >::_Go",1,1,"0,00","0,00",
"Caller","std::_LaunchPad<std::unique_ptr<std::tuple<<lambda_1268a5ee5881dafa003fc32150625876> >,std::default_delete<std::tuple<<lambda_1268a5ee5881dafa003fc32150625876> > > > >::_Go","std::_Pad::_Call_func",1,1,"0,00","0,00",
"Root","std::_LaunchPad<std::unique_ptr<std::tuple<<lambda_1268a5ee5881dafa003fc32150625876> >,std::default_delete<std::tuple<<lambda_1268a5ee5881dafa003fc32150625876> > > > >::_Run","std::_LaunchPad<std::unique_ptr<std::tuple<<lambda_1268a5ee5881dafa003fc32150625876> >,std::default_delete<std::tuple<<lambda_1268a5ee5881dafa003fc32150625876> > > > >::_Run",7 109,2,"12,98","0,00",
